# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+98F4	飴	イ,シ,あめ,やしなう	i,shi,ame,yashinau	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98F6	飶	ヒツ,ビチ,ヘツ,ベチ,かおり	hitsu,bichi,hetsu,bechi,kaori	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98FC	飼	シ,かう	shi,kau	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98FD	飽	ホウ,あきる,あかす,あく	hou,akiru,akasu,aku	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98FE	飾	ショク,かざる,かざり	shoku,kazaru,kazari	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9902	餂	テン,うまい	ten,umai	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9903	餃	ギョウ,キョウ,コウ	gyou,kyou,kou	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9905	餅	ヘイ,ヒョウ,もち,もちい	hei,hyou,mochi,mochii	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9907	餇	ト,ズ,くいもの	to,zu,kuimono	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9908	餈	シ,もち	shi,mochi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9909	餉	ショウ,け,かれい,かれいい,べんとう	shou,ke,karei,kareii,bentou	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+990A	養	ヨウ,リョウ,やしなう	you,ryou,yashinau	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+990C	餌	ジ,ニ,え,えば,えさ,もち	ji,ni,e,eba,esa,mochi	0,0,0,0,0,0	0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9910	餐	サン,ソン,のむ,くらう	san,son,nomu,kurau	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9911	餑	ホツ,ボチ,コウ,ながい	hotsu,bochi,kou,nagai	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9912	餒	ダイ,イ,うえる	dai,i,ueru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9913	餓	ガ,うえる	ga,ueru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9914	餔	ホ,フ,くう,ゆうめし	ho,fu,kuu,yuumeshi	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9915	餕	シュン,セン,たべのこし	shun,sen,tabenokoshi	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9916	餖	トウ,ズ	tou,zu	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9917	餗	ソク,サク,かゆ	soku,saku,kayu	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9918	餘	ヨ,あまる,あまり,あます	yo,amaru,amari,amasu	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+991A	餚	コウ,ギョウ,そなえる	kou,gyou,sonaeru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+991B	餛	コン	kon	0	0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+991C	餜	カ,もち	ka,mochi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+991D	餝	コウ,シキ,ショク,かざり,かざる	kou,shiki,shoku,kazari,kazaru	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+991E	餞	セン,はなむけ	sen,hanamuke	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+991F	餟	テツ,テチ,テイ,まつる	tetsu,techi,tei,matsuru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9920	餠	ヘイ,ヒョウ,もち,もちい	hei,hyou,mochi,mochii	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9921	餡	アン,カン	an,kan	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9922	餢	ホウ,ブ	hou,bu	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9924	餤	タン	tan	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+9926	餦	チョウ,あめ,もち	chou,ame,mochi	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9927	餧	ダイ,イ,うえる	dai,i,ueru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9928	館	カン,やかた,たて	kan,yakata,tate	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+992B	餫	ウン,コン,おくる	un,kon,okuru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+992C	餬	コ,かゆ	ko,kayu	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+992E	餮	テツ,むさぼる	tetsu,musaboru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9931	餱	コウ,グ,ほしいい	kou,gu,hoshiii	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9932	餲	エイ,アツ,アチ,アイ,くさる	ei,atsu,achi,ai,kusaru	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9933	餳	トウ,セイ,あめ	tou,sei,ame	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9934	餴	フン,むす,むしめし	fun,musu,mushimeshi	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9935	餵	ダイ,イ,うえる	dai,i,ueru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9939	餹	トウ,あめ	tou,ame	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+993A	餺	ハク	haku	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+993B	餻	コウ,こなもち	kou,konamochi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+993C	餼	キ,ケ,おくりもの	ki,ke,okurimono	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+993D	餽	キ,おくる	ki,okuru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+993E	餾	リュウ	ryuu	0	0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9940	饀	トウ,こなもち	tou,konamochi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9941	饁	ヨウ,オウ,コウ,おくる	you,ou,kou,okuru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9942	饂	ウン,うどん	un,udon	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9945	饅	マン	man	0	0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9946	饆	ヒツ,ヒチ,もち	hitsu,hichi,mochi	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9947	饇	ヨ,オ,ウ,オウ,あく	yo,o,u,ou,aku	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9948	饈	シュウ,シュ,すすめる	shuu,shu,susumeru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9949	饉	キン,うえる	kin,ueru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+994B	饋	キ,おくる	ki,okuru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+994C	饌	セン,サン,そなえる	sen,san,sonaeru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+994D	饍	セン,かしわ,すすめる,そなえる	sen,kashiwa,susumeru,sonaeru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+994E	饎	シ,キ,さけさかな,むす	shi,ki,sakesakana,musu	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9950	饐	イ,エイ,エツ,すえる,むせぶ	i,ei,etsu,sueru,musebu	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9951	饑	キ,うえる	ki,ueru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9952	饒	ジョウ,ニョウ,ゆたか	jou,nyou,yutaka	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9954	饔	ヨウ,ユ,にる	you,yu,niru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
