# codepoints	text	readings_display	readings_normalized	source
U+3055,U+3066,U+7F6E,U+304F	さて置く	さておく	sateoku	JMDICT
U+3055,U+3089,U+3051,U+51FA,U+3059	さらけ出す	さらけだす	sarakedasu	JMDICT
U+3055,U+308A,U+6C17,U+306A,U+3044	さり気ない	さりげない	sarigenai	JMDICT
U+3056,U+307E,U+3092,U+898B,U+308D	ざまを見ろ	ざまをみろ	zamawomiro	JMDICT
U+840E,U+840E	萎萎	しおしお	shioshio	JMDICT
U+3057,U+304C,U+307F,U+4ED8,U+304F	しがみ付く	しがみつく	shigamitsuku	JMDICT
U+983B,U+308A,U+306B	頻りに	しきりに	shikirini	JMDICT
U+3057,U+304F,U+3057,U+304F,U+6CE3,U+304F	しくしく泣く	しくしくなく	shikushikunaku	JMDICT
U+7E41,U+3005	繁々	しげしげ	shigeshige	JMDICT
U+57F7,U+62D7,U+3044	執拗い	しつこい	shitsukoi	JMDICT
U+5C61,U+3005	屡々	しばしば	shibashiba	JMDICT
U+4ED5,U+821E,U+3063,U+305F	仕舞った	しまった	shimatta	JMDICT
U+6C81,U+307F,U+6C81,U+307F	沁み沁み	しみじみ	shimijimi	JMDICT
U+5403,U+9006	吃逆	しゃっくり	shakkuri	JMDICT
U+558B,U+308A	喋り	しゃべり	shaberi	JMDICT
U+3057,U+6613,U+3044	し易い	しやすい	shiyasui	JMDICT
U+5C0F,U+4FBF,U+3092,U+3059,U+308B	小便をする	しょうべんをする	shoubenwosuru	JMDICT
U+5C0F,U+4FBF,U+3092,U+5782,U+308C,U+308B	小便を垂れる	しょんべんをたれる	shonbenwotareru	JMDICT
U+767D,U+53E3	白口	しろぐち	shiroguchi	JMDICT
U+55C4,U+308C,U+308B	嗄れる	しゃがれる	shagareru	JMDICT
U+6D94,U+3005	涔々	しんしん	shinshin	JMDICT
U+7E41,U+5439,U+304F	繁吹く	しぶく	shibuku	JMDICT
U+51DD,U+4E4E,U+3068	凝乎と	じっと	jitto	JMDICT
U+3058,U+3063,U+3068,U+898B,U+308B	じっと見る	じっとみる	jittomiru	JMDICT
U+307E,U+305F,U+660E,U+65E5	また明日	またあした	mataashita	JMDICT
U+3058,U+3083,U+304C,U+828B	じゃが芋	じゃがいも	jagaimo	JMDICT
U+3058,U+3083,U+3058,U+3083,U+99AC	じゃじゃ馬	じゃじゃうま	jajauma	JMDICT
U+3058,U+3083,U+3093,U+62F3	じゃん拳	じゃんけん	janken	JMDICT
U+7126,U+3089,U+3059	焦らす	じらす	jirasu	JMDICT
U+7126,U+308C,U+3063,U+305F,U+3044	焦れったい	じれったい	jirettai	JMDICT
U+3058,U+308D,U+3058,U+308D,U+898B,U+308B	じろじろ見る	じろじろみる	jirojiromiru	JMDICT
U+597D,U+304D,U+8005	好き者	すきもの	sukimono	JMDICT
U+3059,U+3059,U+308A,U+6CE3,U+304F	すすり泣く	すすりなく	susurinaku	JMDICT
U+3059,U+53EF,U+304D	す可き	すべき	subeki	JMDICT
U+3059,U+308B,U+304C,U+826F,U+3044	するが良い	するがいい	surugaii	JMDICT
U+64E6,U+308C,U+64E6,U+308C	擦れ擦れ	すれすれ	suresure	JMDICT
U+305A,U+3070,U+305A,U+3070,U+8A00,U+3046	ずばずば言う	ずばずばいう	zubazubaiu	JMDICT
U+305A,U+3076,U+6FE1,U+308C	ずぶ濡れ	ずぶぬれ	zubunure	JMDICT
U+305B,U+3056,U+308B,U+3092,U+5F97,U+306A,U+3044	せざるを得ない	せざるをえない	sezaruwoenai	JMDICT
U+5176,U+5974	其奴	そいつ	soitsu	JMDICT
U+305D,U+3046,U+304B,U+3068,U+8A00,U+3063,U+3066	そうかと言って	そうかといって	soukatoitte	JMDICT
U+7136,U+3046,U+7136,U+3046	然う然う	そうそう	sousou	JMDICT
U+305D,U+3046,U+3067,U+306A,U+3044,U+5834,U+5408,U+306F	そうでない場合は	そうでないばあいは	soudenaibaaiha	JMDICT
U+5176,U+51E6	其処	そこ	soko	JMDICT
U+5176,U+51E6,U+3044,U+3089	其処いら	そこいら	sokoira	JMDICT
U+5176,U+51E6,U+307E,U+3067	其処まで	そこまで	sokomade	JMDICT
U+5176,U+51E6,U+3089	其処ら	そこら	sokora	JMDICT
U+800C,U+3057,U+3066	而して	そして	soshite	JMDICT
U+5506,U+308B	唆る	そそる	sosoru	JMDICT
U+6F2B,U+308D,U+306B	漫ろに	そぞろに	sozoroni	JMDICT
U+305D,U+305E,U+308D,U+6B69,U+304D	そぞろ歩き	そぞろあるき	sozoroaruki	JMDICT
U+5176,U+65B9	其方	そちら	sochira	JMDICT
U+5176,U+306E	其の	その	sono	JMDICT
U+305D,U+306E,U+4E0A,U+3067	その上で	そのうえで	sonouede	JMDICT
U+305D,U+306E,U+70BA	その為	そのため	sonotame	JMDICT
U+305D,U+306E,U+5F8C	その後	そのあと	sonoato	JMDICT
U+305D,U+306E,U+5B9F	その実	そのじつ	sonojitsu	JMDICT
U+305D,U+306E,U+4E0A	その上	そのうえ	sonoue	JMDICT
U+305D,U+306E,U+5834,U+5408,U+306B,U+306F	その場合には	そのばあいには	sonobaainiha	JMDICT
U+305D,U+306E,U+4ED6	その他	そのほか	sonohoka	JMDICT
U+305D,U+306E,U+90FD,U+5EA6	その都度	そのつど	sonotsudo	JMDICT
U+305D,U+306E,U+5185	その内	そのうち	sonouchi	JMDICT
U+305D,U+306E,U+53CD,U+9762	その反面	そのはんめん	sonohanmen	JMDICT
U+6291	抑	そもそも	somosomo	JMDICT
U+305D,U+3088,U+98A8	そよ風	そよかぜ	soyokaze	JMDICT
U+5176,U+308C	其れ	それ	sore	JMDICT
U+5176,U+308C,U+304B,U+3089	其れから	それから	sorekara	JMDICT
U+5176,U+308C,U+4E08	其れ丈	それだけ	soredake	JMDICT
