鮔,거
鱋,거
鶋,거
麮,거
鼁,거
﨔,거
車,거
巪,걱
乾,건
件,건
健,건
巾,건
建,건
愆,건
楗,건
腱,건
虔,건
蹇,건
鍵,건
騫,건
揵,건
犍,건
睷,건
褰,건
謇,건
鞬,건
㓺,건
㔓,건
㗔,건
㨜,건
㨴,건
㩃,건
㩮,건
㩷,건
㸫,건
䇂,건
䇟,건
䊕,건
䖍,건
䘜,건
䙭,건
䞿,건
䭈,건
䮿,건
乹,건
亁,건
囝,건
墘,건
寈,건
寋,건
弿,건
徤,건
搴,건
攐,건
攓,건
旔,건
榩,건
毽,건
湕,건
漧,건
瀽,건
藆,건
諐,건
踺,건
鑳,건
騝,건
骞,건
鰎,건
鰬,건
鶱,건
乞,걸
傑,걸
杰,걸
桀,걸
乬,걸
朅,걸
榤,걸
㐦,걸
㘶,걸
㹇,걸
䎢,걸
䒗,걸
嵥,걸
搩,걸
櫭,걸
滐,걸
芞,걸
藒,걸
儉,검
劍,검
劒,검
檢,검
瞼,검
鈐,검
黔,검
撿,검
芡,검
㧄,검
䇜,검
䈩,검
䩎,검
仱,검
俭,검
倹,검
剑,검
剣,검
剱,검
劎,검
劔,검
忴,검
捡,검
检,검
検,검
睑,검
脸,검
臉,검
钤,검
劫,겁
怯,겁
迲,겁
刦,겁
刧,겁
㤼,겁
㥘,겁
㭲,겁
㹤,겁
㾀,겁
䀷,겁
䂲,겁
䂶,겁
刼,겁
抾,겁
昅,겁
极,겁
砝,겁
蜐,겁
衱,겁
袷,겁
跲,겁
鉣,겁
魥,겁
鵖,겁
唟,것
偈,게
憩,게
揭,게
垍,게
愒,게
憇,게
掲,게
擊,격
格,격
檄,격
激,격
膈,격
覡,격
隔,격
挌,격
毄,격
闃,격
骼,격
鬲,격
鴃,격
㐿,격
㦘,격
㦴,격
㪾,격
䁶,격
䂆,격
䈪,격
䐙,격
䙐,격
䛿,격
䞦,격
䠐,격
䴗,격
击,격
呄,격
嗝,격
垎,격
墼,격
愅,격
搹,격
搿,격
撃,격
敋,격
楁,격
欫,격
湨,격
滆,격
燩,격
犑,격
狊,격
獥,격
礊,격
綌,격
緙,격
繳,격
绤,격
缂,격
缴,격
臵,격
薂,격
蛒,격
觋,격
觡,격
諽,격
譤,격
轚,격
郹,격
鄓,격
閴,격
阒,격
鞷,격
鵙,격
鶪,격
鸄,격
鼳,격
堅,견
牽,견
犬,견
甄,견
絹,견
繭,견
肩,견
見,견
譴,견
遣,견
鵑,견
樫,견
狷,견
畎,견
筧,견
縳,견
繾,견
羂,견
蠲,견
鰹,견
㑠,견
㝁,견
㢾,견
㭴,견
㯞,견
㯠,견
㹂,견
䄯,견
䅌,견
䅐,견
䋌,견
䋗,견
䌑,견
䌸,견
䑷,견
䗗,견
䚈,견
䚊,견
䡓,견
䣺,견
䪈,견
䭤,견
䳌,견
䵖,견
䵛,견
䵡,견
䵤,견
䶬,견
儙,견
坚,견
岍,견
幵,견
悓,견
挸,견
掔,견
掮,견
撁,견
枤,견
枧,견
梘,견
汧,견
汱,견
涀,견
熞,견
牵,견
犭,견
猏,견
獧,견
瓹,견
甽,견
睊,견
笕,견
絸,견
縴,견
绢,견
缱,견
罥,견
茾,견
菺,견
蚈,견
蜸,견
蠒,견
裐,견
襺,견
见,견
詃,견
谴,견
豜,견
豣,견
趼,견
鄄,견
鈃,견
銒,견
鋻,견
鏲,견
鑓,견
钘,견
雃,견
鲣,견
鳽,견
鵳,견
鹃,견
麉,견
抉,결
決,결
潔,결
結,결
缺,결
訣,결
玦,결
觖,결
闋,결
㓗,결
㓶,결
㛃,결
㭈,결
㮮,결
㹟,결
㼤,결
䀗,결
䊽,결
䍳,결
䏐,결
䝌,결
䤿,결
䥛,결
䦬,결
䦼,결
僪,결
决,결
刔,결
妜,결
挗,결
洯,결
炔,결
焆,결
砄,결
结,결
缼,결
芵,결
蒛,결
蚗,결
蛪,결
袺,결
觼,결
诀,결
赽,결
趹,결
迼,결
逫,결
釨,결
鈌,결
鐑,결
阕,결
駃,결
魝,결
鴂,결
兼,겸
慊,겸
箝,겸
謙,겸
鉗,겸
鎌,겸
傔,겸
嗛,겸
岒,겸
拑,겸
歉,겸
縑,겸
蒹,겸
黚,겸
鼸,겸
㻩,겸
䈤,겸
䈴,겸
䊴,겸
䭠,겸
䯡,겸
嵰,겸
槏,겸
缣,겸
羬,겸
膁,겸
谦,겸
趝,겸
钳,겸
鰜,겸
鳒,겸
鶼,겸
鹣,겸
䀫,겹
䁍,겹
䛟,겹
䩡,겹
唊,겹
圶,겹
掐,겹
殎,겹
裌,겹
郏,겹
郟,겹
鵊,겹
京,경
俓,경
倞,경
傾,경
儆,경
勁,경
勍,경
卿,경
坰,경
境,경
庚,경
徑,경
慶,경
憬,경
擎,경
敬,경
景,경
暻,경
更,경
梗,경
涇,경
炅,경
烱,경
璟,경
璥,경
瓊,경
痙,경
硬,경
磬,경
竟,경
競,경
絅,경
經,경
耕,경
耿,경
脛,경
莖,경
警,경
輕,경
逕,경
鏡,경
頃,경
頸,경
驚,경
鯨,경
冏,경
剄,경
哽,경
惸,경
憼,경
扃,경
檠,경
煢,경
焭,경
熲,경
畊,경
竸,경
綆,경
顈,경
罄,경
褧,경
謦,경
駉,경
鯁,경
黥,경
㒌,경
㓏,경
㜔,경
㢣,경
㤯,경
㩩,경
㪅,경
㬌,경
㯋,경
㯳,경
㷀,경
㷡,경
㷫,경
㹩,경
㹵,경
㹹,경
㼇,경
㾘,경
䃄,경
䋁,경
䌄,경
䌹,경
䔔,경
䔛,경
䜘,경
䪫,경
䮐,경
䯧,경
䲔,경
䵞,경
亰,경
倾,경
傹,경
儝,경
冂,경
冋,경
刭,경
剠,경
劲,경
囧,경
坕,경
坙,경
埂,경
埛,경
婛,경
峺,경
巠,경
幜,경
庆,경
庼,경
廎,경
弪,경
弳,경
径,경
挭,경
挳,경
掶,경
摼,경
擏,경
曔,경
桱,경
棾,경
椩,경
樈,경
橩,경
檾,경
櫦,경
殌,경
氢,경
氫,경
泾,경
浭,경
滰,경
漀,경
澃,경
烃,경
烴,경
焿,경
煚,경
煛,경
燛,경
燝,경
牼,경
狅,경
猄,경
獍,경
琼,경
璚,경
痉,경
睘,경
瞏,경
竞,경
経,경
綗,경
经,경
绠,경
胫,경
苘,경
茎,경
茕,경
莄,경
菮,경
葝,경
藑,경
蘏,경
蟼,경
誙,경
誩,경
赹,경
踁,경
軽,경
轻,경
迳,경
郠,경
鍄,경
鑋,경
镜,경
鞕,경
頚,경
顷,경
颈,경
颎,경
駫,경
骾,경
鲠,경
鲸,경
鵛,경
鶁,경
鶊,경
鹒,경
麖,경
麠,경
係,계
啓,계
堺,계
契,계
季,계
屆,계
悸,계
戒,계
桂,계
械,계
棨,계
溪,계
界,계
癸,계
磎,계
稽,계
系,계
繫,계
繼,계
計,계
誡,계
谿,계
階,계
鷄,계
堦,계
烓,계
瘈,계
禊,계
筓,계
綮,계
縘,계
罽,계
葪,계
薊,계
雞,계
髻,계
㑧,계
㒅,계
㕃,계
㖑,계
㛷,계
㡭,계
㪈,계
㬖,계
㮷,계
㲅,계
㳦,계
㳵,계
㶉,계
㻑,계
㾵,계
䀘,계
䁈,계
䁉,계
䋜,계
䋯,계
䏿,계
䙆,계
䚉,계
䛺,계
䠏,계
䡔,계
䦇,계
䫔,계
䭫,계
䭬,계
䳶,계
乩,계
卟,계
启,계
呇,계
唘,계
啔,계
啟,계
喺,계
嗘,계
届,계
峜,계
嵠,계
彐,계
彑,계
悈,계
昋,계
晵,계
暩,계
枅,계
栔,계
楐,계
檕,계
檵,계
洎,계
瀱,계
甈,계
畍,계
痵,계
瘛,계
碶,계
笄,계
筀,계
紒,계
継,계
繋,계
继,계
罊,계
葜,계
蓕,계
蓟,계
蘮,계
蘻,계
蟿,계
諬,계
计,계
诫,계
銈,계
鍥,계
