# golden parity table for FUZZY_HEPBURN_KUNREI: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
hikitsubusu	hikitubusu
hikitsuke	hikituke
hikitsuru	hikituru
hikizuna	
hiko	
hikobae	
hiku	
hikui	
hikuihimegaki	
hikumaru	
hikumeru	
hima	
hime	
himegaki	
himeru	
himo	
himogori	
himojii	himozii
himono	
himorogi	
himotoku	
himushi	himusi
hin	
hina	
hinabiru	
hinekuru	
hineru	
hinoe	
hinohikari	
hinoki	
hinokuchi	hinokuti
hinoshi	hinosi
hinoto	
hira	
hirakeru	
hiraki	
hirakiugokasu	
hiraku	
hirame	
hirameki	
hirameku	
hiratai	
hiratake	
hiratobari	
hire	
hiro	
hirobiroto	
hirogaru	
hirogeru	
hiroi	
hiroiago	
hiromaru	
hiromeru	
hirou	
hiru	
hirugaeru	
hirugaesu	
hirugao	
hirumu	
hisage	
hisagi	
hisago	
hisagu	
hisame	
hisashi	hisasi
hisashii	hisasii
hishaku	hisyaku
hishi	hisi
hishigu	hisigu
hishihishi	hisihisi
hishiko	hisiko
hishikui	hisikui
hishimeku	hisimeku
hishio	hisio
hiso	
hisoka	
hisokani	
hisokanishiru	hisokanisiru
hisokaniukagaishiru	hisokaniukagaisiru
hisomeru	
hisomu	
hissageru	
hissori	
hitai	
hitaki	
hitaru	
hitasu	
hitata	
hito	
hitoashi	hitoasi
hitoe	
hitoenotsutsusodeudenuki	hitoenotutusodeudenuki
hitomawari	
hitomi	
hitomigakagayaku	
hitomoshi	hitomosi
hitori	
hitorimono	
hitoshii	hitosii
hitoshiku	hitosiku
hitoshikusuru	hitosikusuru
hitotsu	hitotu
hitoya	
hitoyozake	
hitsu	hitu
hitsugi	hitugi
hitsugiguruma	hitugiguruma
hitsugikazari	hitugikazari
hitsuginawa	hituginawa
hitsuji	hitsuzi,hituji
hitsujisaru	hitsuzisaru,hitujisaru
hiuchi	hiuti
hiwa	
hiya	
hiyakasu	
hiyasu	
hiyayaka	
hiyodori	
hiyoko	
hiyomeki	
hiyu	
hiza	
hizakake	
hizamazuku	
hizashi	hizasi
hizume	
hizumu	
ho	
hobashira	hobasira
hobo	
hochi	hoti
hodasu	
hodo	
hodokeru	
hodokosu	
hodoku	
hoeru	
hofuru	hohuru
hogaraka	
hogoru	
hogusu	
hoho	
hohoemu	
hojishi	hojisi,hozishi
hoka	
hokeru	
hoko	
hokobukuro	
hokora	
hokori	
hokorobiru	
hokoru	
hokosaki	
hokozukuri	
hoku	
hokuro	
hokuso	
homare	
homeru	
hon	
honbako	
hone	
hono	
honogurai	
honoka	
honomekasu	
honomeku	
honoo	
hoo	
hoobone	
hoohige	
hora	
horeru	
hori	
horo	
horobiru	
horobosu	
horobu	
horoguruma	
horu	
hosaki	
hoshi	hosi
hoshii	hosii
hoshiii	hosiii
hoshiimama	hosiimama
hoshiuo	hosiuo
hosohimo	
hosoi	
hosonuno	
hosoru	
hossu	
hossuru	
hosu	
hota	
hotaru	
hotobashiru	hotobasiru
hotogi	
hotohoto	
hotoke	
hotondo	
hotori	
hototogisu	
hotsu	hotu
hou	
houdate	
houjiru	houziru
houki	
houkigusa	
houmuru	
hourensou	
houru	
houzuru	
hozo	
hyaku	
hyoi	
hyoku	
hyou	
hyoushigi	hyousigi
hyu	
hyuku	
hyuu	
i	
ibara	
ibari	
ibiki	
ibitsu	ibitu
ibo	
ibukaru	
iburu	
ibusu	
ichi	iti
ichibi	itibi
ichigo	itigo
ichijirushii	ichijirusii,ichizirushii,itijirushii
idaku	
idasu	
ideru	
idomu	
ie	
iedomo	
ienokatawara	
ieru	
iga	
igamu	
igata	
ige	
igeta	
igurumi	
ihai	
ihaya	
ii	
iiarasou	
iinayamu	
iitateru	
iitsuke	iituke
ijikuru	izikuru
ijimeru	izimeru
ijiru	iziru
ika	
ikada	
ikade	
ikadeka	
ikameshii	ikamesii
ikan	
ikanobori	
ikarasu	
ikari	
ikaru	
ikaruga	
ikasu	
ikazuchi	ikazuti
ike	
ikenie	
ikeru	
iki	
ikidooru	
ikihoi	
ikioi	
ikire	
ikiru	
ikiyasui	
ikoi	
ikou	
iku	
ikura	
ikusa	
ikusabune	
ikusagoromo	
ikusaguruma	
ikutsu	ikutu
ima	
imada	
imashi	imasi
imashime	imasime
imashimeru	imasimeru
imawashii	imawasii
imi	
imina	
imo	
imomushi	imomusi
imori	
imoto	
imouto	
imu	
in	
ina	
inabikari	
inada	
inago	
inamu	
inanaku	
inbako	
inchi	inti
ine	
inishie	inisie
inoashi	inoasi
inochi	inoti
inoko	
inori	
inoru	
inoshishi	inosisi
inu	
inuawa	
inubie	
inuenju	inuenzyu
inui	
inunazuna	
io	
iori	
iradatsu	iradatu
iraka	
ire	
ireru	
irezumi	
iri	
irie	
irigome	
irijiumu	iriziumu
irimajiru	irimaziru
iro	
irodori	
irodoru	
iroginu	
irori	
irotsuchi	irotsuti,irotuchi
iru	
iruka	
isagiami	
isagiyoi	
isagomushi	isagomusi
isakau	
isamashii	isamasii
isame	
isameru	
isamu	
isao	
isasaka	
ise	
ishi	isi
ishibari	isibari
ishibumi	isibumi
ishidatami	isidatami
ishihajiki	ishihaziki,isihajiki
ishimochi	ishimoti,isimochi
ishiyama	isiyama
ishiyumi	isiyumi
ishizue	isizue
ishizuki	isizuki
ishizumi	isizumi
iso	
isogashii	isogasii
isogi	
isogiyuku	
isogu	
isoshimu	isosimu
isuka	
isuru	
ita	
itachi	itati
itadaki	
itadaku	
itagakoi	
itagane	
itai	
itamashii	itamasii
itameru	
itamu	
itaru	
itasu	
itatsuki	itatuki
itawaru	
itazuki	
itazura	
iteru	
ito	
itogameguru	
itoguchi	itoguti
itogutsu	itogutu
itokenai	
itokuda	
itoma	
itomakinoashi	itomakinoasi
itonami	
itonamu	
itonomotsure	itonomoture
itoshii	itosii
itou	
itowaku	
itsu	itu
itsuku	ituku
itsukushi	itsukusi,itukushi
itsukushimanai	itsukusimanai,itukushimanai
itsukushimi	itsukusimi,itukushimi
itsukushimu	itsukusimu,itukushimu
itsutsu	itutu
itsuwari	ituwari
itsuwaru	ituwaru
itterubiumu	
ittoriumu	
iu	
iwa	
iwaku	
iwana	
iwanya	
iwao	
iwashi	iwasi
iwau	
iwaya	
iwayuru	
iya	
iyaiyakotaeru	
iyaninaru	
iyashii	iyasii
iyashikumo	iyasikumo
iyashimeru	iyasimeru
iyashimu	iyasimu
iyasu	
iyoiyo	
izanau	
izari	
izaru	
izukuni	
izukunzo	
izumi	
izure	
ja	zya
jaku	zyaku
jan	zyan
jareru	zyareru
ji	zi
jichi	jiti,zichi
jigabachi	jigabati,zigabachi
jigane	zigane
jigo	zigo
jii	zii
jiji	zizi
jijii	zizii
jika	zika
jiki	ziki
jiku	ziku
jikugashira	jikugasira,zikugashira
jime	zime
jin	zin
jinai	zinai
jinkou	zinkou
jirasu	zirasu
jireru	zireru
jirettai	zirettai
jirushi	jirusi,zirushi
jisha	jisya,zisha
jishibari	jisibari,zishibari
jitsu	jitu,zitsu
jiyu	ziyu
jo	zyo
joku	zyoku
jotsu	jotu,zyotsu
jou	zyou
jougi	zyougi
ju	zyu
juchi	juti,zyuchi
juku	zyuku
jun	zyun
junjiru	junziru,zyunjiru
junzuru	zyunzuru
jutsu	jutu,zyutsu
juu	zyuu
ka	
kaba	
kaban	
kabau	
kabe	
kabi	
kabiru	
kabu	
kabura	
kaburaya	
kaburi	
kaburu	
kabuseru	
kabuto	
kabutogani	
kachi	kati
kachidoki	katidoki
kado	
kadomiumu	
kae	
kaeau	
kaede	
kaerimiru	
kaeru	
kaesu	
kaette	
kagameru	
kagami	
kagamidai	
kagamitai	
kagamu	
kagari	
kagaribi	
kagaru	
kagayaku	
kage	
kagerou	
kageru	
kagi	
kagibana	
kagiri	
kagiru	
kago	
kagu	
kai	
kaibaoke	
kaichuu	kaityuu
kaigarabone	
kaiko	
kaikonosu	
kaina	
kairagi	
kairi	
kaiyone	
kaji	kazi
kajika	kazika
kajiki	kaziki
kajiru	kaziru
kaka	
kakaa	
kakaeru	
kakageru	
kakame	
kakari	
kakaru	
kakasu	
kakato	
kakawaru	
kake	
kakeba	
kakehashi	kakehasi
kakehi	
kakeru	
kakesu	
kaki	
kakiatsumeru	kakiatumeru
kakiiro	
kakimono	
kakine	
kakoi	
kakomu	
kakotsu	kakotu
kakotsukeru	kakotukeru
kakou	
kaku	
kakumau	
kakureru	
kakushi	kakusi
kakusu	
kakusuru	
kakutaru	
kama	
kamabisushii	kamabisusii
kamachi	kamati
kamado	
kamaeru	
kamasu	
kamau	
kame	
kami	
kamikaesu	
kamikazari	
kamikirimushi	kamikirimusi
kaminari	
kamishimo	kamisimo
kamizutsumi	kamizutumi
kamo	
kamoji	kamozi
kamome	
kamoshika	kamosika
kamosu	
kamu	
kamuro	
kan	
kana	
kanabasami	
kanaderu	
kanae	
kanaenotsukimono	kanaenotukimono
kanaeru	
kanagu	
kanahodashi	kanahodasi
kanamari	
kaname	
kanarazu	
kanashii	kanasii
kanashimu	kanasimu
kanatoko	
kanau	
kanawa	
kanba	
kanbashii	kanbasii
kane	
kanegura	
kanekake	
kanekazari	
kanenone	
kaneru	
kanezashi	kanezasi
kangae	
kangaeru	
kangamiru	
kani	
kanjiki	kanziki
kanmuri	
kanmurinohimo	
kanna	
kannagi	
kannuki	
kano	
kanoe	
kanoko	
kanoto	
kansuru	
kanzashi	kanzasi
kanzou	
kao	
kaori	
kaorigusa	
kaoru	
kara	
karada	
karageru	
karai	
karakau	
karakuri	
karamaru	
karameru	
karamu	
karamushi	karamusi
karanashi	karanasi
karanshi	karansi
karashi	karasi
karashiae	karasiae
karasu	
karasukinomimi	
karasumi	
karasuuri	
karatachi	karatati
karaushi	karausi
karazao	
kare	
karei	
kareii	
karekinone	
kareru	
kari	
karigane	
kariine	
karimo	
karimogari	
kariru	
kariumu	
kariyasu	
karizumai	
karonjiru	karonziru
karonzuru	
karoyaka	
karu	
karui	
karukuutsu	karukuutu
karushiumu	karusiumu
kasa	
kasabuta	
kasamu	
kasanaru	
kasane	
kasanegoromo	
kasaneru	
kasasagi	
kase	
