# golden parity table for FUZZY_LONG_VOWEL: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
kanaenotsukimono	
kanaeru	
kanagu	
kanahodashi	
kanamari	
kaname	
kanarazu	
kanashii	
kanashimu	
kanatoko	
kanau	
kanawa	
kanba	
kanbashii	
kane	
kanegura	
kanekake	
kanekazari	
kanenone	
kaneru	
kanezashi	
kangae	
kangaeru	
kangamiru	
kani	
kanjiki	
kanmuri	
kanmurinohimo	
kanna	
kannagi	
kannuki	
kano	
kanoe	
kanoko	
kanoto	
kansuru	
kanzashi	
kanzou	kanzo
kao	
kaori	
kaorigusa	
kaoru	
kara	
karada	
karageru	
karai	
karakau	
karakuri	
karamaru	
karameru	
karamu	
karamushi	
karanashi	
karanshi	
karashi	
karashiae	
karasu	
karasukinomimi	
karasumi	
karasuuri	karasuri
karatachi	
karaushi	
karazao	
kare	
karei	
kareii	
karekinone	
kareru	
kari	
karigane	
kariine	
karimo	
karimogari	
kariru	
kariumu	
kariyasu	
karizumai	
karonjiru	
karonzuru	
karoyaka	
karu	
karui	
karukuutsu	karukutsu
karushiumu	
kasa	
kasabuta	
kasamu	
kasanaru	
kasane	
kasanegoromo	
kasaneru	
kasasagi	
kase	
kasegu	
kashi	
kashigeru	
kashigu	
kashiko	
kashikoi	
kashikomaru	
kashikoshi	
kashimashii	
kashira	
kashiwa	
kashizuku	
kasu	
kasube	
kasugai	
kasui	
kasuka	
kasumeru	
kasumetoru	
kasumi	
kasumu	
kasureru	
kasuri	
kasuru	
kata	
kataashi	
katabuku	
katachi	
katachigayoi	
katadoru	
katae	
katagata	
katageru	
katai	
katajikenai	
kataki	
katakoto	
kataku	
katakuna	
katakunaru	
katakutoru	
katamari	
katamaru	
katame	
katameru	
katami	
katamini	
kataminomono	
katamukeru	
katamuku	
katana	
katanosageo	
katanugu	
katarau	
kataru	
katashiro	
katatagai	
katatsumuri	
katawara	
katayoru	
kate	
katsu	
katsugu	
katsuo	
katsuomushi	
katsura	
katsute	
katte	
kau	
kawa	
kawagoromo	
kawagutsu	
kawahagi	
kawakasu	
kawaki	
